epoch,dice_metric,loss,mean_IOU_gpu,val_dice_metric,val_loss,val_mean_IOU_gpu
46,0.78787285,0.19961947262889207,0.6696879,0.0,3.125393509864807,0.0
47,0.80646163,0.17845007054733508,0.6939753,0.0,3.1515183448791504,0.0
48,0.7898115,0.19695227939372112,0.67383975,0.0,3.1468158960342407,0.0
49,0.78416705,0.20389659032978194,0.6654119,0.0,3.2014546394348145,0.0
50,0.7867309,0.1999067874117331,0.6689958,0.0,3.1483839750289917,0.0
51,0.7893942,0.195173053202605,0.67043734,0.0,3.154854416847229,0.0
52,0.7992953,0.18393135100904137,0.6831066,0.0,3.201727032661438,0.0
53,0.78452146,0.20192712462610668,0.66646975,0.0,3.226801633834839,0.0
54,0.7962384,0.18983770071557074,0.68228674,0.0,3.17713725566864,0.0
55,0.7810942,0.2042369337545501,0.6600131,0.0,3.1456549167633057,0.0
56,0.7939563,0.190765636436867,0.67758554,0.0,3.172744035720825,0.0
57,0.79574984,0.18752207193109724,0.6784723,0.0,3.1433175802230835,0.0
58,0.7943684,0.1879942256091821,0.67664766,0.0,3.163642644882202,0.0
59,0.7935533,0.189526135120729,0.6761593,0.0,3.2028632164001465,0.0
60,0.8022855,0.18005176505657158,0.6870178,0.0,3.156710982322693,0.0
61,0.81855017,0.16429953841548978,0.7108149,0.0,3.2158766984939575,0.0
62,0.8020756,0.1795433166653219,0.6857803,0.0,3.2158524990081787,0.0
63,0.79503834,0.18953460816181067,0.68044907,0.0,3.1809396743774414,0.0
64,0.7809072,0.20311262932690707,0.65856177,0.0,2.9921470880508423,0.0
65,0.80285794,0.18017716924048433,0.6894045,0.0,3.18500816822052,0.0
66,0.810332,0.1710948290096389,0.6985398,0.0,3.1235780715942383,0.0
67,0.7988292,0.18244304011265436,0.68123066,0.0,3.1477675437927246,0.0
68,0.8014931,0.17908173167344296,0.6844406,0.0,3.184005856513977,0.0
69,0.8047667,0.178462843702297,0.69249094,0.0,2.9453505277633667,0.0
70,0.8070412,0.17401857681647695,0.6923312,0.0,3.1911524534225464,0.0
71,0.80320734,0.17617640207813243,0.68690884,0.0,3.057050585746765,0.0
72,0.80338675,0.17794885621829468,0.6888178,0.0,3.101383090019226,0.0
73,0.797,0.1848315622920942,0.68060714,0.0,2.9770950078964233,0.0
74,0.8021327,0.17901676200857067,0.68720376,0.0,2.827426791191101,0.0
75,0.7949716,0.18638314427149416,0.6770031,0.0,2.952552556991577,0.0
76,0.7936846,0.18666052569945654,0.6756528,0.0,2.839255452156067,0.0
77,0.80447423,0.17556071860922706,0.6892463,0.0,2.741050362586975,0.0
